run_id,scene,mode,method,model,success,first_attempt_valid,iterations,first_plan_length,final_plan_length,first_failed_step,first_failed_action,first_error,final_failed_step,final_failed_action,final_error,inferred_root_cause,total_val_runtime_seconds,average_val_runtime_seconds,failure_stage,run_directory,summary_file
run_hybrid_feedback_llama3.1_8b_02,scene_02_pyramid,llm,hybrid_feedback,llama3.1:8b,True,True,1,6,6,,,,,,,,8.638046,8.638046,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_llama3.1_8b_02,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_llama3.1_8b_02\run_summary.json
run_hybrid_feedback_qwen2.5_latest_01,scene_02_pyramid,llm,hybrid_feedback,qwen2.5:latest,True,False,2,12,6,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),,,,redundant_actions_after_goal_achievement,20.046157,10.023078,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_qwen2.5_latest_01,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_qwen2.5_latest_01\run_summary.json
run_hybrid_feedback_qwen2.5_latest_02,scene_02_pyramid,llm,hybrid_feedback,qwen2.5:latest,True,False,2,12,6,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),,,,redundant_actions_after_goal_achievement,18.514043,9.257022,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_qwen2.5_latest_02,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_qwen2.5_latest_02\run_summary.json
run_20260723_202552,scene_02_pyramid,llm,hybrid_feedback,llama3.1:8b,True,True,1,6,6,,,,,,,,14.803579,14.803579,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260723_202552,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_llama3.1\run_summary.json
run_20260723_194943,scene_02_pyramid,mock,,mock,True,False,2,6,6,2,pick-up(B5),Missing preconditions: handempty,,,,unsatisfied_precondition_handempty,18.964291,9.482146,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260723_194943,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_mock\run_summary.json
run_pure_llm_llama3.1_8b_01,scene_02_pyramid,llm,pure_llm,llama3.1:8b,True,True,1,6,6,,,,,,,,17.20031,17.20031,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_01,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_01\run_summary.json
run_pure_llm_llama3.1_8b_02,scene_02_pyramid,llm,pure_llm,llama3.1:8b,True,True,1,6,6,,,,,,,,16.927765,16.927765,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_02,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_02\run_summary.json
run_pure_llm_llama3.1_8b_03,scene_02_pyramid,llm,pure_llm,llama3.1:8b,True,True,1,6,6,,,,,,,,8.735809,8.735809,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_03,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_03\run_summary.json
run_pure_llm_llama3.1_8b_04,scene_02_pyramid,llm,pure_llm,llama3.1:8b,True,True,1,6,6,,,,,,,,7.88991,7.88991,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_04,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.1_8b_04\run_summary.json
run_pure_llm_llama3.2_3b_01,scene_02_pyramid,llm,pure_llm,llama3.2:3b,False,False,1,10,,8,pick-up(B2),Missing preconditions: handempty,8,pick-up(B2),Missing preconditions: handempty,redundant_actions_after_goal_achievement,10.19429,10.19429,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.2_3b_01,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.2_3b_01\run_summary.json
run_pure_llm_llama3.2_3b_02,scene_02_pyramid,llm,pure_llm,llama3.2:3b,False,False,1,10,,8,pick-up(B2),Missing preconditions: handempty,8,pick-up(B2),Missing preconditions: handempty,redundant_actions_after_goal_achievement,10.012618,10.012618,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.2_3b_02,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_llama3.2_3b_02\run_summary.json
run_pure_llm_qwen2.5_latest_01,scene_02_pyramid,llm,pure_llm,qwen2.5:latest,False,False,1,12,,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),redundant_actions_after_goal_achievement,11.619304,11.619304,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_qwen2.5_latest_01,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_qwen2.5_latest_01\run_summary.json
run_pure_llm_qwen2.5_latest_02,scene_02_pyramid,llm,pure_llm,qwen2.5:latest,False,False,1,12,,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),redundant_actions_after_goal_achievement,13.377028,13.377028,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_qwen2.5_latest_02,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_pure_llm_qwen2.5_latest_02\run_summary.json
